Student_ID,Gender,Age,Education,CGPA,Internships,Year,Hostel,Projects,Letter_of_Recommendation,Specialization,On/Off Campus,Package(LPA),HistoryOfBacklogs,Placement_Status
20001,Male,26,Bachelor,9.14,0,2018,Opted,0,Yes,Electrical,On Campus,815358,0,Placed
20002,Female,24,Master,8.49,3,2022,Opted,2,No,Electrical,On Campus,782456,2,Placed
20003,Male,27,Bachelor,8.57,0,2019,Not Opted,4,No,Computer Science,Off Campus,270246,2,Placed
20004,Male,24,Master,7.31,3,2020,Opted,5,Yes,Computer Science,On Campus,0,4,Not Placed
20005,Male,24,Master,9.6,2,2019,Opted,5,Yes,Information Technology,On Campus,0,3,Not Placed
20006,Female,24,Master,8.47,0,2019,Not Opted,0,No,Computer Science,Off Campus,0,4,Not Placed
20007,Male,24,Master,8.64,2,2020,Not Opted,5,No,Mechanical,On Campus,0,4,Not Placed
20008,Male,26,Master,9.31,3,2023,Opted,5,Yes,Computer Science,Off Campus,0,3,Not Placed
20009,Male,27,Bachelor,6.37,2,2020,Opted,0,No,Information Technology,On Campus,599325,2,Placed
20010,Female,27,Bachelor,9.04,0,2019,Opted,5,Yes,Computer Science,On Campus,0,3,Not Placed
20011,Male,27,Bachelor,5.98,0,2020,Opted,2,Yes,Computer Science,Off Campus,521901,0,Placed
20012,Male,24,Master,6.73,2,2023,Not Opted,1,No,Electrical,Off Campus,0,4,Not Placed
20013,Male,26,Bachelor,6.68,1,2018,Opted,4,No,Electrical,Off Campus,0,4,Not Placed
20014,Male,25,Bachelor,9.89,3,2020,Opted,2,No,Computer Science,Off Campus,0,3,Not Placed
20015,Female,27,Bachelor,9.28,3,2020,Not Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20016,Male,21,Bachelor,,2,2019,Opted,1,Yes,Computer Science,On Campus,362187,2,Placed
20017,Female,21,Bachelor,8.64,1,2018,Opted,4,No,Electronics,On Campus,0,4,Not Placed
20018,Female,26,Master,7.81,0,2021,Not Opted,2,No,Electrical,Off Campus,0,3,Not Placed
20019,Female,27,Bachelor,9.74,4,2021,Not Opted,5,No,Computer Science,On Campus,824078,2,Placed
20020,Male,24,Master,7.48,4,2022,Opted,1,Yes,Information Technology,On Campus,244258,2,Placed
20021,Female,25,Master,6.9,2,2020,Not Opted,4,No,Electronics,On Campus,0,4,Not Placed
20022,Male,24,Master,,1,2020,Not Opted,3,No,Mechanical,Off Campus,0,3,Not Placed
20023,Female,27,Master,8.93,1,2018,Opted,0,Yes,Mechanical,Off Campus,0,4,Not Placed
20024,Female,24,Master,8.67,3,2023,Not Opted,5,Yes,Information Technology,On Campus,558720,0,Placed
20025,Female,24,Bachelor,6.92,0,2021,Opted,1,Yes,Computer Science,On Campus,829769,0,Placed
20026,Female,27,Bachelor,,1,2022,Opted,0,Yes,Computer Science,Off Campus,363118,2,Placed
20027,Female,21,Bachelor,9.19,4,2018,Opted,3,Yes,Electronics,Off Campus,0,4,Not Placed
20028,Female,24,Master,5.06,0,2020,Opted,2,No,Civil,Off Campus,971888,0,Placed
20029,Female,26,Bachelor,8.52,0,2021,Not Opted,2,Yes,Information Technology,Off Campus,670471,1,Placed
20030,Female,26,Bachelor,9.85,2,2022,Opted,4,Yes,Information Technology,On Campus,205397,0,Placed
20031,Male,28,Master,7.19,1,2019,Opted,1,Yes,Information Technology,Off Campus,0,4,Not Placed
20032,Male,24,Master,6.17,2,2021,Opted,1,Yes,Information Technology,On Campus,0,4,Not Placed
20033,Female,27,Master,8.52,1,2022,Opted,4,Yes,Computer Science,Off Campus,676552,0,Placed
20034,Female,24,Master,9.09,3,2018,Not Opted,0,Yes,Electrical,On Campus,0,4,Not Placed
20035,Female,27,Bachelor,7.73,2,2019,Not Opted,2,Yes,Computer Science,On Campus,0,4,Not Placed
20036,Male,24,Master,9.84,2,2022,Not Opted,2,Yes,Computer Science,Off Campus,656435,1,Placed
20037,Female,28,Master,5.26,4,2022,Opted,1,No,Electrical,On Campus,696574,2,Placed
20038,Male,23,Bachelor,7.52,2,2020,Not Opted,1,No,Computer Science,On Campus,0,4,Not Placed
20039,Male,21,Bachelor,8.59,1,2023,Not Opted,4,No,Computer Science,On Campus,0,3,Not Placed
20040,Male,28,Master,9.31,4,2021,Opted,3,Yes,Computer Science,Off Campus,738359,2,Placed
20041,Male,23,Bachelor,5.9,2,2020,Not Opted,0,Yes,Mechanical,Off Campus,572384,2,Placed
20042,Male,24,Master,9.0,2,2019,Opted,5,Yes,Electronics,Off Campus,0,3,Not Placed
20043,Female,24,Master,7.76,3,2023,Not Opted,3,No,Computer Science,On Campus,856023,0,Placed
20044,Female,23,Bachelor,6.98,2,2022,Not Opted,3,Yes,Electrical,On Campus,262408,1,Placed
